name,longitude,latitude,prov,date
Cardamine diphylla (Michx.) Alph.Wood,-81.343854,41.61465,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-77.912884,41.658727,gbif,2019-04-12
Cardamine diphylla (Michx.) Alph.Wood,-79.744465,39.703455,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-83.23494,35.585504,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-79.555817,40.560967,gbif,2019-04-19
Cardamine diphylla (Michx.) Alph.Wood,-79.519583,40.564095,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-81.326316,41.371725,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-76.443547,44.290977,gbif,2019-04-22
Cardamine diphylla (Michx.) Alph.Wood,-80.155123,40.427242,gbif,2019-04-22
Cardamine diphylla (Michx.) Alph.Wood,-76.033761,42.783592,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-79.474639,40.894644,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-73.625923,41.173603,gbif,2019-04-18
Cardamine diphylla (Michx.) Alph.Wood,-74.555777,40.592176,gbif,2019-04-11
Cardamine diphylla (Michx.) Alph.Wood,-84.324105,33.775453,gbif,2019-04-26
Cardamine diphylla (Michx.) Alph.Wood,-79.986115,43.643612,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-80.721734,43.533931,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-79.857285,41.595036,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-80.721817,43.458336,gbif,2019-04-20
Cardamine diphylla (Michx.) Alph.Wood,-73.61773,41.173528,gbif,2019-04-24
Cardamine diphylla (Michx.) Alph.Wood,-80.084808,40.521308,gbif,2019-04-11
Cardamine diphylla (Michx.) Alph.Wood,-79.59293,42.22514,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-80.181541,40.486523,gbif,2019-04-16
Cardamine diphylla (Michx.) Alph.Wood,-81.678003,41.247978,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-83.720726,42.282396,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-79.563816,38.783525,gbif,2019-04-10
Cardamine diphylla (Michx.) Alph.Wood,-78.183932,41.595598,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-73.875412,40.866475,gbif,2019-04-11
Cardamine diphylla (Michx.) Alph.Wood,-89.426764,43.046986,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-85.655287,37.914874,gbif,2019-04-06
Cardamine diphylla (Michx.) Alph.Wood,-81.272193,41.443746,gbif,2019-04-16
Cardamine diphylla (Michx.) Alph.Wood,-79.943509,39.620108,gbif,2019-04-14
Cardamine diphylla (Michx.) Alph.Wood,-79.781867,40.532575,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-79.668687,38.934639,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-75.774803,41.557468,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-74.234275,41.122986,gbif,2019-04-16
Cardamine diphylla (Michx.) Alph.Wood,-82.72327,35.281809,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-87.418084,34.328752,gbif,2019-04-07
Cardamine diphylla (Michx.) Alph.Wood,-80.087958,41.064836,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-83.5295,35.67905,gbif,2019-04-26
Cardamine diphylla (Michx.) Alph.Wood,-73.963371,41.819969,gbif,2019-04-26
Cardamine diphylla (Michx.) Alph.Wood,-73.865465,41.513122,gbif,2019-04-18
Cardamine diphylla (Michx.) Alph.Wood,-79.907212,40.546128,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-81.621834,41.221821,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-64.551771,44.420114,gbif,2019-05-01
Cardamine diphylla (Michx.) Alph.Wood,-81.435465,43.358198,gbif,2019-05-02
Cardamine diphylla (Michx.) Alph.Wood,-72.629017,42.792883,gbif,2019-05-04
Cardamine diphylla (Michx.) Alph.Wood,-75.031232,42.033803,gbif,2019-05-09
Cardamine diphylla (Michx.) Alph.Wood,-87.050049,46.494186,gbif,2019-05-06
