id,observed_on,out_of_range,url,latitude,longitude,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,scientific_name,taxon_id
183832,2011-04-21,,http://www.inaturalist.org/observations/183832,38.6366274706,-86.7446341486,Orange,Indiana,United States,Indiana,Orange,Pieris virginiensis,198801
190224,2012-05-05,,http://www.inaturalist.org/observations/190224,42.6639075736,-73.0143380858,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
190379,2012-04-14,,http://www.inaturalist.org/observations/190379,42.8429992459,-73.2186295552,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
190447,2012-04-07,,http://www.inaturalist.org/observations/190447,42.916193895,-73.3190339524,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
190448,2012-04-07,,http://www.inaturalist.org/observations/190448,42.9454634913,-73.2073834283,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
190868,2011-04-30,,http://www.inaturalist.org/observations/190868,42.9174477222,-73.2577183742,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
191954,2011-04-30,,http://www.inaturalist.org/observations/191954,42.9361463318,-73.2618368505,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
193858,2011-04-30,,http://www.inaturalist.org/observations/193858,42.9863750167,-73.225094837,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
251615,2013-05-01,,http://www.inaturalist.org/observations/251615,40.6761991975,-80.5915341194,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Pieris virginiensis,198801
252513,2013-05-01,,http://www.inaturalist.org/observations/252513,40.6967986372,-80.4101193167,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Pieris virginiensis,198801
271756,2013-05-17,,http://www.inaturalist.org/observations/271756,39.8782284876,-79.5935126852,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
391998,2008-05-06,,http://www.inaturalist.org/observations/391998,41.978897907,-80.2504399144,Crawford,Pennsylvania,United States,Pennsylvania,Crawford,Pieris virginiensis,198801
528152,2005-05-13,,http://www.inaturalist.org/observations/528152,43.619810234,-73.1923318229,Rutland,Vermont,United States,Vermont,Rutland,Pieris virginiensis,198801
528155,2005-06-02,,http://www.inaturalist.org/observations/528155,43.6883980521,-73.0331992417,Rutland,Vermont,United States,Vermont,Rutland,Pieris virginiensis,198801
637156,2014-04-19,,http://www.inaturalist.org/observations/637156,39.8964492632,-79.4826589531,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
637157,2014-04-19,,http://www.inaturalist.org/observations/637157,39.8425743368,-79.598926038,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
637159,2014-04-19,,http://www.inaturalist.org/observations/637159,39.964014864,-79.4427630497,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
637160,2014-04-19,,http://www.inaturalist.org/observations/637160,39.9292288791,-79.4184166332,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
637161,2014-04-19,,http://www.inaturalist.org/observations/637161,39.8202712556,-79.5889070818,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
637162,2014-04-19,,http://www.inaturalist.org/observations/637162,39.8860059244,-79.4675427009,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
645335,2014-04-24,,http://www.inaturalist.org/observations/645335,41.3356816029,-81.7898561185,Medina,Ohio,United States,Ohio,Medina,Pieris virginiensis,198801
653520,2014-05-01,,http://www.inaturalist.org/observations/653520,42.9087992536,-72.5633607274,Windham,Vermont,United States,Vermont,Windham,Pieris virginiensis,198801
659888,2014-05-04,,http://www.inaturalist.org/observations/659888,41.1546695834,-80.1659496959,Butler,Pennsylvania,United States,Pennsylvania,Butler,Pieris virginiensis,198801
674184,2014-05-12,,http://www.inaturalist.org/observations/674184,41.0990640847,-81.0072825854,Portage,Ohio,United States,Ohio,Portage,Pieris virginiensis,198801
676440,2014-05-13,,http://www.inaturalist.org/observations/676440,40.1887978222,-79.3487637193,Westmoreland,Pennsylvania,United States,Pennsylvania,Westmoreland,Pieris virginiensis,198801
676441,2014-05-13,,http://www.inaturalist.org/observations/676441,40.0734165947,-79.3462384339,Westmoreland,Pennsylvania,United States,Pennsylvania,Westmoreland,Pieris virginiensis,198801
696073,2014-05-05,,http://www.inaturalist.org/observations/696073,42.9622896146,-73.2122684049,Bennington,Vermont,United States,Vermont,Bennington,Pieris virginiensis,198801
1348258,2015-03-29,,http://www.inaturalist.org/observations/1348258,35.6757442328,-83.7378901221,Blount,Tennessee,United States,Tennessee,Blount,Pieris virginiensis,198801
1353970,2015-03-31,,http://www.inaturalist.org/observations/1353970,35.0870851681,-85.5030039324,Marion,Tennessee,United States,Tennessee,Marion,Pieris virginiensis,198801
1359258,2015-04-01,,http://www.inaturalist.org/observations/1359258,36.0382625676,-86.2167393013,Wilson,Tennessee,United States,Tennessee,Wilson,Pieris virginiensis,198801
1365376,2015-04-04,,http://www.inaturalist.org/observations/1365376,35.7028815685,-83.6943778623,Blount,Tennessee,United States,Tennessee,Blount,Pieris virginiensis,198801
1438557,2015-04-29,,http://www.inaturalist.org/observations/1438557,41.177081289,-80.0259574226,Butler,Pennsylvania,United States,Pennsylvania,Butler,Pieris virginiensis,198801
1444086,2015-05-01,,http://www.inaturalist.org/observations/1444086,40.5228732483,-79.5477468341,Armstrong,Pennsylvania,United States,Pennsylvania,Armstrong,Pieris virginiensis,198801
1444103,2015-05-01,,http://www.inaturalist.org/observations/1444103,40.5725171377,-79.5978106327,Armstrong,Pennsylvania,United States,Pennsylvania,Armstrong,Pieris virginiensis,198801
1449369,2015-05-02,,http://www.inaturalist.org/observations/1449369,42.1743875237,-78.7095444875,Cattaraugus,New York,United States,New York,Cattaraugus,Pieris virginiensis,198801
1451997,2015-05-02,,http://www.inaturalist.org/observations/1451997,39.9988261601,-79.492248202,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
1451998,2015-05-02,,http://www.inaturalist.org/observations/1451998,39.9569217083,-79.5820829978,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
1452014,2015-05-02,,http://www.inaturalist.org/observations/1452014,39.8543148417,-79.4271299815,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
1463925,2015-05-07,,http://www.inaturalist.org/observations/1463925,40.1669797819,-79.7413241079,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
1466450,2015-05-07,,http://www.inaturalist.org/observations/1466450,42.8560682866,-72.4093714114,Windham,Vermont,United States,Vermont,Windham,Pieris virginiensis,198801
1528410,2015-04-01,,http://www.inaturalist.org/observations/1528410,36.1322291854,-86.2889759507,Wilson,Tennessee,United States,Tennessee,Wilson,Pieris virginiensis,198801
1613082,2015-04-25,,http://www.inaturalist.org/observations/1613082,41.0101650691,-81.0198810971,Portage,Ohio,United States,Ohio,Portage,Pieris virginiensis,198801
1960546,2015-04-29,,http://www.inaturalist.org/observations/1960546,41.4668638757,-81.2309515043,Geauga,Ohio,United States,Ohio,Geauga,Pieris virginiensis,198801
2560802,2008-06-01,,http://www.inaturalist.org/observations/2560802,39.950013678,-79.5667701193,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Pieris virginiensis,198801
2736190,2012-04-10,,http://www.inaturalist.org/observations/2736190,36.5508596725,-84.8760560007,Fentress,Tennessee,United States,Tennessee,Fentress,Pieris virginiensis,198801
2902329,2016-04-08,,http://www.inaturalist.org/observations/2902329,36.0587587114,-84.4492795439,Morgan,Tennessee,United States,Tennessee,Morgan,Pieris virginiensis,198801
2951757,2016-04-15,,http://www.inaturalist.org/observations/2951757,41.0697629196,-81.1685674322,Portage,Ohio,United States,Ohio,Portage,Pieris virginiensis,198801
2970940,2016-04-18,,http://www.inaturalist.org/observations/2970940,41.5303908382,-81.3346063071,Geauga,Ohio,United States,Ohio,Geauga,Pieris virginiensis,198801
2978164,2016-04-19,,http://www.inaturalist.org/observations/2978164,41.4381621019,-81.203722597,Geauga,Ohio,United States,Ohio,Geauga,Pieris virginiensis,198801
2984123,2016-04-20,,http://www.inaturalist.org/observations/2984123,42.3834137104,-73.2314393766,Berkshire,Massachusetts,United States,Massachusetts,Berkshire,Pieris virginiensis,198801
3030173,2016-04-24,,http://www.inaturalist.org/observations/3030173,43.7111313748,-73.1325876745,Rutland,Vermont,United States,Vermont,Rutland,Pieris virginiensis,198801
3069455,2016-04-30,,http://www.inaturalist.org/observations/3069455,41.0627965094,-80.0015896652,Butler,Pennsylvania,United States,Pennsylvania,Butler,Pieris virginiensis,198801
3076708,2016-04-30,,http://www.inaturalist.org/observations/3076708,39.5070033257,-79.7614388262,Preston,West Virginia,United States,West Virginia,Preston,Pieris virginiensis,198801
3092578,2016-05-02,,http://www.inaturalist.org/observations/3092578,40.4731684328,-79.5329540486,Armstrong,Pennsylvania,United States,Pennsylvania,Armstrong,Pieris virginiensis,198801
3095210,2016-05-02,,http://www.inaturalist.org/observations/3095210,40.5985895219,-79.4628568055,Armstrong,Pennsylvania,United States,Pennsylvania,Armstrong,Pieris virginiensis,198801
3157826,2016-05-09,,http://www.inaturalist.org/observations/3157826,47.3946184744,-84.5630101778,,,Canada,Ontario,Algoma,Pieris virginiensis,198801
3804648,2016-04-30,,http://www.inaturalist.org/observations/3804648,43.5907746871,-75.8957268346,Oswego,New York,United States,New York,Oswego,Pieris virginiensis,198801
4378062,2012-04-07,,http://www.inaturalist.org/observations/4378062,36.1291677336,-81.7392068105,Caldwell,North Carolina,United States,North Carolina,Caldwell,Pieris virginiensis,198801
4657671,2016-05-29,,http://www.inaturalist.org/observations/4657671,45.2962805128,-89.1187468402,Langlade,Wisconsin,United States,Wisconsin,Langlade,Pieris virginiensis,198801
