id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,scientific_name,taxon_id
23971566,2019-04-28,39.8711802531,-86.1306605303,Marion,Indiana,United States,Indiana,Marion,Cardamine concatenata,60438
23972254,2019-04-29,40.5734866667,-79.7457283333,Westmoreland,Pennsylvania,United States,Pennsylvania,Westmoreland,Cardamine concatenata,60438
23996220,2019-04-29,40.6390683288,-80.0016390065,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
23997953,2019-04-29,41.0013245792,-81.9718538784,Medina,Ohio,United States,Ohio,Medina,Cardamine concatenata,60438
23999240,2019-04-29,40.1522574,-75.456843,Montgomery,Pennsylvania,United States,Pennsylvania,Montgomery,Cardamine concatenata,60438
24014715,2019-04-29,38.9650329017,-77.1540659387,Fairfax,Virginia,United States,Virginia,Fairfax,Cardamine concatenata,60438
24017929,2019-04-29,39.5205783333,-77.5060116667,Frederick,Maryland,United States,Maryland,Frederick,Cardamine concatenata,60438
24021849,2019-04-29,38.8497155998,-77.0679020696,Arlington,Virginia,United States,Virginia,Arlington,Cardamine concatenata,60438
24024809,2019-04-23,41.5426635742,-83.5644607544,Wood,Ohio,United States,Ohio,Wood,Cardamine concatenata,60438
24035254,2019-04-28,42.2773650898,-81.8609993629,Chatham-Kent,,Canada,Ontario,Chatham-Kent,Cardamine concatenata,60438
24042471,2019-04-29,41.4683626556,-81.4135786806,Cuyahoga,Ohio,United States,Ohio,Cuyahoga,Cardamine concatenata,60438
24043671,2019-04-29,40.7614416145,-79.9918298722,Butler,Pennsylvania,United States,Pennsylvania,Butler,Cardamine concatenata,60438
24055039,2019-04-29,43.0813989749,-77.6709493304,Monroe,New York,United States,New York,Monroe,Cardamine concatenata,60438
24062896,2019-04-29,40.5172119558,-79.8207569643,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
24065632,2019-04-29,41.4855813611,-81.5121693914,Cuyahoga,Ohio,United States,Ohio,Cuyahoga,Cardamine concatenata,60438
24065640,2019-04-29,40.5647239685,-80.1924972534,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
24073811,2018-04-22,39.2230802666,-76.6622376657,Howard,Maryland,United States,Maryland,Howard,Cardamine concatenata,60438
24077142,2019-04-29,40.545505,-79.9060533333,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
24088123,2019-04-29,38.8499,-77.068025,Arlington,Virginia,United States,Virginia,Arlington,Cardamine concatenata,60438
24088278,2019-04-27,42.3941716557,-87.9476009164,Lake,Illinois,United States,Illinois,Lake,Cardamine concatenata,60438
24093708,2019-04-29,40.4327774048,-79.9008331299,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
24115078,2019-04-29,38.84993277,-77.06809151,Arlington,Virginia,United States,Virginia,Arlington,Cardamine concatenata,60438
24115590,2019-04-29,43.2126624791,-77.6208180361,Monroe,New York,United States,New York,Monroe,Cardamine concatenata,60438
24126953,2019-04-29,39.8717269897,-86.1602325439,Marion,Indiana,United States,Indiana,Marion,Cardamine concatenata,60438
24127353,2019-04-29,39.4814402676,-76.6932102154,Baltimore,Maryland,United States,Maryland,Baltimore,Cardamine concatenata,60438
24146609,2019-04-20,41.59743,-88.2260133333,Will,Illinois,United States,Illinois,Will,Cardamine concatenata,60438
24174408,2019-04-30,41.9918141188,-77.8400212806,Potter,Pennsylvania,United States,Pennsylvania,Potter,Cardamine concatenata,60438
24190657,2019-04-30,42.62855051,-80.54085622,Haldimand-Norfolk,,Canada,Ontario,Haldimand-Norfolk,Cardamine concatenata,60438
24196738,2019-04-29,38.5362423,-90.5376247,Saint Louis,Missouri,United States,Missouri,St. Louis,Cardamine concatenata,60438
24203815,2019-04-30,39.99342706,-75.49144603,Chester,Pennsylvania,United States,Pennsylvania,Chester,Cardamine concatenata,60438
24214700,2019-04-29,36.0694236755,-78.8538208008,Durham,North Carolina,United States,North Carolina,Durham,Cardamine concatenata,60438
24215010,2019-04-30,43.41008348,-89.63651834,Sauk,Wisconsin,United States,Wisconsin,Sauk,Cardamine concatenata,60438
24217430,2019-04-28,42.4294078,-83.5288478,Wayne,Michigan,United States,Michigan,Wayne,Cardamine concatenata,60438
24217652,2019-04-30,43.0916893146,-81.5608785182,Middlesex,,Canada,Ontario,Middlesex,Cardamine concatenata,60438
24218374,2019-04-29,41.64414822,-80.9907217839,Ashtabula,Ohio,United States,Ohio,Ashtabula,Cardamine concatenata,60438
24224657,2019-04-30,41.2685246068,-81.3955943473,Summit,Ohio,United States,Ohio,Summit,Cardamine concatenata,60438
24226420,2019-04-30,42.9636150119,-77.6594193418,Monroe,New York,United States,New York,Monroe,Cardamine concatenata,60438
24226492,2019-04-28,40.1555888889,-79.2709111111,Westmoreland,Pennsylvania,United States,Pennsylvania,Westmoreland,Cardamine concatenata,60438
24231505,2019-04-30,41.3184236689,-81.6130804271,Cuyahoga,Ohio,United States,Ohio,Cuyahoga,Cardamine concatenata,60438
24231805,2019-04-23,41.4200747,-82.6358325,Erie,Ohio,United States,Ohio,Erie,Cardamine concatenata,60438
24232696,2019-04-30,43.0515556335,-77.4886322021,Monroe,New York,United States,New York,Monroe,Cardamine concatenata,60438
24241938,2019-04-27,38.449,-90.6563333333,Jefferson,Missouri,United States,Missouri,Jefferson,Cardamine concatenata,60438
24243286,2019-04-29,39.5200783333,-77.5057216667,Frederick,Maryland,United States,Maryland,Frederick,Cardamine concatenata,60438
24253499,2019-04-29,38.9547620323,-78.0215994886,Fauquier,Virginia,United States,Virginia,Fauquier,Cardamine concatenata,60438
24254122,2019-04-30,43.4578233333,-80.72079,Regional Municipality of Waterloo,,Canada,Ontario,Regional Municipality of Waterloo,Cardamine concatenata,60438
24258312,2019-04-28,40.778897,-79.783946,Butler,Pennsylvania,United States,Pennsylvania,Butler,Cardamine concatenata,60438
24273293,2019-05-01,42.2415461348,-79.7756135617,Erie,Pennsylvania,United States,Pennsylvania,Erie,Cardamine concatenata,60438
24279463,2019-05-01,40.9262283845,-73.875295166,Westchester,New York,United States,New York,Westchester,Cardamine concatenata,60438
24279528,2019-04-26,41.3875274444,-88.2408599722,Will,Illinois,United States,Illinois,Will,Cardamine concatenata,60438
24284023,2019-04-25,42.2519,-79.57427,Chautauqua,New York,United States,New York,Chautauqua,Cardamine concatenata,60438
24286893,2019-05-01,42.1499821404,-87.7852044628,Cook,Illinois,United States,Illinois,Cook,Cardamine concatenata,60438
24286931,2019-05-01,42.14973004,-87.78499428,Cook,Illinois,United States,Illinois,Cook,Cardamine concatenata,60438
24287550,2019-05-01,35.3195728083,-82.9677031004,Jackson,North Carolina,United States,North Carolina,Jackson,Cardamine concatenata,60438
24292188,2019-05-01,41.2191975257,-81.7217458506,Medina,Ohio,United States,Ohio,Medina,Cardamine concatenata,60438
24292643,2019-05-01,41.2193926983,-81.7212967482,Medina,Ohio,United States,Ohio,Medina,Cardamine concatenata,60438
24297476,2019-04-30,41.9687453351,-74.1402849624,Ulster,New York,United States,New York,Ulster,Cardamine concatenata,60438
24302416,2019-05-01,42.7409259696,-76.6765170638,Cayuga,New York,United States,New York,Cayuga,Cardamine concatenata,60438
24309674,2019-05-01,43.5265277778,-80.5311916667,Regional Municipality of Waterloo,,Canada,Ontario,Regional Municipality of Waterloo,Cardamine concatenata,60438
24320389,2019-05-01,42.3450252135,-88.9925571811,Winnebago,Illinois,United States,Illinois,Winnebago,Cardamine concatenata,60438
24322571,2019-05-01,43.3353795842,-79.9484235571,Hamilton,,Canada,Ontario,Hamilton,Cardamine concatenata,60438
24325744,2019-05-01,42.2586287,-88.09606524,Lake,Illinois,United States,Illinois,Lake,Cardamine concatenata,60438
24328536,2019-04-27,42.30062,-83.7631366667,Washtenaw,Michigan,United States,Michigan,Washtenaw,Cardamine concatenata,60438
24328542,2019-04-27,42.30062,-83.7631366667,Washtenaw,Michigan,United States,Michigan,Washtenaw,Cardamine concatenata,60438
24328559,2019-04-27,42.3006333333,-83.761865,Washtenaw,Michigan,United States,Michigan,Washtenaw,Cardamine concatenata,60438
24328593,2019-04-27,42.2994783333,-83.7609216667,Washtenaw,Michigan,United States,Michigan,Washtenaw,Cardamine concatenata,60438
24329189,2019-04-26,41.605588,-87.565694,Cook,Illinois,United States,Illinois,Cook,Cardamine concatenata,60438
24329409,2019-04-26,39.6082466667,-76.680345,Baltimore,Maryland,United States,Maryland,Baltimore,Cardamine concatenata,60438
24330133,2019-04-28,42.949730026,-81.4029465034,Middlesex,,Canada,Ontario,Middlesex,Cardamine concatenata,60438
24330201,2019-04-20,39.6479443,-76.98479688,Carroll,Maryland,United States,Maryland,Carroll,Cardamine concatenata,60438
24334235,2019-04-30,43.1489685787,-81.5136267343,Middlesex,,Canada,Ontario,Middlesex,Cardamine concatenata,60438
24336045,2019-05-01,43.3849316667,-80.34527,Regional Municipality of Waterloo,,Canada,Ontario,Regional Municipality of Waterloo,Cardamine concatenata,60438
