name,longitude,latitude,prov,date
"Pieris virginiensis Edwards, 1870",-80.115123,41.786539,gbif,2017-04-16
"Pieris virginiensis Edwards, 1870",-72.404447,43.042921,gbif,2017-04-28
"Pieris virginiensis Edwards, 1870",-72.516895,42.508547,gbif,2017-05-04
"Pieris virginiensis Edwards, 1870",-72.477368,42.471128,gbif,2017-05-04
"Pieris virginiensis Edwards, 1870",-81.203723,41.438162,gbif,2016-04-19
"Pieris virginiensis Edwards, 1870",-80.00159,41.062797,gbif,2016-04-30
"Pieris virginiensis Edwards, 1870",-79.612998,39.019086,gbif,2016-04-28
"Pieris virginiensis Edwards, 1870",-81.010417,40.520145,gbif,2016-04-16
"Pieris virginiensis Edwards, 1870",-73.132588,43.711131,gbif,2016-04-24
"Pieris virginiensis Edwards, 1870",-79.761439,39.507003,gbif,2016-04-30
"Pieris virginiensis Edwards, 1870",-81.334606,41.530391,gbif,2016-04-18
"Pieris virginiensis Edwards, 1870",-84.44928,36.058759,gbif,2016-04-08
"Pieris virginiensis Edwards, 1870",-73.231439,42.383414,gbif,2016-04-20
"Pieris virginiensis Edwards, 1870",-81.168567,41.069763,gbif,2016-04-15
"Pieris virginiensis Edwards, 1870",-80.562032,41.991219,gbif,2016-04-27
"Pieris virginiensis Edwards, 1870",-84.56301,47.394618,gbif,2016-05-09
"Pieris virginiensis Edwards, 1870",-89.118747,45.296281,gbif,2016-05-29
"Pieris virginiensis Edwards, 1870",-85.503004,35.087085,gbif,2015-03-31
"Pieris virginiensis Edwards, 1870",-83.73789,35.675744,gbif,2015-03-29
"Pieris virginiensis Edwards, 1870",-81.230952,41.466864,gbif,2015-04-29
"Pieris virginiensis Edwards, 1870",-86.216739,36.038263,gbif,2015-04-01
"Pieris virginiensis Edwards, 1870",-81.019881,41.010165,gbif,2015-04-25
"Pieris virginiensis Edwards, 1870",-80.025957,41.177081,gbif,2015-04-29
"Pieris virginiensis Edwards, 1870",-83.694378,35.702882,gbif,2015-04-04
"Pieris virginiensis Edwards, 1870",-86.288976,36.132229,gbif,2015-04-01
"Pieris virginiensis Edwards, 1870",-79.492248,39.998826,gbif,2015-05-02
"Pieris virginiensis Edwards, 1870",-78.709544,42.174388,gbif,2015-05-02
"Pieris virginiensis Edwards, 1870",-79.42713,39.854315,gbif,2015-05-02
"Pieris virginiensis Edwards, 1870",-72.409371,42.856068,gbif,2015-05-07
"Pieris virginiensis Edwards, 1870",-79.582083,39.956922,gbif,2015-05-02
"Pieris virginiensis Edwards, 1870",-79.482659,39.896449,gbif,2014-04-19
"Pieris virginiensis Edwards, 1870",-79.67947,38.982619,gbif,2014-04-18
"Pieris virginiensis Edwards, 1870",-79.598926,39.842574,gbif,2014-04-19
"Pieris virginiensis Edwards, 1870",-79.418417,39.929229,gbif,2014-04-19
"Pieris virginiensis Edwards, 1870",-79.442763,39.964015,gbif,2014-04-19
"Pieris virginiensis Edwards, 1870",-79.588907,39.820271,gbif,2014-04-19
"Pieris virginiensis Edwards, 1870",-81.789856,41.335682,gbif,2014-04-24
"Pieris virginiensis Edwards, 1870",-79.467543,39.886006,gbif,2014-04-19
"Pieris virginiensis Edwards, 1870",-79.348764,40.188798,gbif,2014-05-13
"Pieris virginiensis Edwards, 1870",-80.16595,41.15467,gbif,2014-05-04
"Pieris virginiensis Edwards, 1870",-81.007283,41.099064,gbif,2014-05-12
"Pieris virginiensis Edwards, 1870",-79.346238,40.073417,gbif,2014-05-13
"Pieris virginiensis Edwards, 1870",-72.563361,42.908799,gbif,2014-05-01
"Pieris virginiensis Edwards, 1870",-80.410119,40.696799,gbif,2013-05-01
"Pieris virginiensis Edwards, 1870",-80.591534,40.676199,gbif,2013-05-01
"Pieris virginiensis Edwards, 1870",-79.593513,39.878228,gbif,2013-05-17
"Pieris virginiensis Edwards, 1870",-81.739207,36.129168,gbif,2012-04-07
"Pieris virginiensis Edwards, 1870",-84.638637,34.853432,gbif,2012-04-02
"Pieris virginiensis Edwards, 1870",-84.876056,36.55086,gbif,2012-04-10
"Pieris virginiensis Edwards, 1870",-79.99692,39.139755,gbif,2011-04-18
"Pieris virginiensis Edwards, 1870",-83.743416,34.643776,gbif,2011-04-24
"Pieris virginiensis Edwards, 1870",-78.581932,44.618049,gbif,2010-04-21
"Pieris virginiensis Edwards, 1870",-79.27462,39.5473,gbif,2010-05-01
"Pieris virginiensis Edwards, 1870",-79.63992,39.918724,gbif,2009-04-18
"Pieris virginiensis Edwards, 1870",-83.752266,35.052998,gbif,2009-05-13
"Pieris virginiensis Edwards, 1870",-80.70115,39.26348,gbif,2008-04-23
"Pieris virginiensis Edwards, 1870",-79.86778,38.781086,gbif,2008-04-21
"Pieris virginiensis Edwards, 1870",-77.82159,38.744102,gbif,2008-05-15
"Pieris virginiensis Edwards, 1870",-78.5,44.57,gbif,2008-05-25
"Pieris virginiensis Edwards, 1870",-80.25044,41.978898,gbif,2008-05-06
"Pieris virginiensis Edwards, 1870",-79.5206,41.8644,gbif,2008-05-24
"Pieris virginiensis Edwards, 1870",-78.5,44.57,gbif,2008-05-25
"Pieris virginiensis Edwards, 1870",-78.5,44.57,gbif,2008-05-25
"Pieris virginiensis Edwards, 1870",-86.52332,39.16075,gbif,2006-05-06
"Pieris virginiensis Edwards, 1870",-85.65424,34.069515,gbif,2005-04-01
"Pieris virginiensis Edwards, 1870",-83.99443,35.272121,gbif,2005-04-10
"Pieris virginiensis Edwards, 1870",-82.84749,36.179516,gbif,2005-04-05
"Pieris virginiensis Edwards, 1870",-83.848785,35.213,gbif,2005-04-10
"Pieris virginiensis Edwards, 1870",-83.908367,35.31977,gbif,2005-04-13
"Pieris virginiensis Edwards, 1870",-83.608248,35.31709,gbif,2005-04-29
"Pieris virginiensis Edwards, 1870",-73.192332,43.61981,gbif,2005-05-13
"Pieris virginiensis Edwards, 1870",-73.033199,43.688398,gbif,2005-06-02
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-17
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-15
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-15
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-20
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-17
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-17
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-17
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-15
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-15
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-17
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-17
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2003-04-16
"Pieris virginiensis Edwards, 1870",-72.59165,42.58379,gbif,2003-05-04
"Pieris virginiensis Edwards, 1870",-78.002284,38.966491,gbif,2002-04-14
"Pieris virginiensis Edwards, 1870",-79.880064,38.837834,gbif,2002-04-15
"Pieris virginiensis Edwards, 1870",-78.002284,38.966491,gbif,2002-04-14
"Pieris virginiensis Edwards, 1870",-78.002284,38.966491,gbif,2002-04-14
"Pieris virginiensis Edwards, 1870",-78,38.9,gbif,2002-06-13
"Pieris virginiensis Edwards, 1870",-84.9873127679796,44.7968327118611,gbif,2001-05-19
"Pieris virginiensis Edwards, 1870",-84.419861,46.941521,gbif,2001-06-13
"Pieris virginiensis Edwards, 1870",-84.419861,46.941521,gbif,2001-06-13
"Pieris virginiensis Edwards, 1870",-84.419861,46.941521,gbif,2001-06-13
"Pieris virginiensis Edwards, 1870",-88.4792561526635,46.654250303123,gbif,2000-05-19
"Pieris virginiensis Edwards, 1870",-89.5671605213371,46.680318194823,gbif,2000-05-20
"Pieris virginiensis Edwards, 1870",-88.4792561526635,46.654250303123,gbif,2000-05-19
"Pieris virginiensis Edwards, 1870",-88.4792561526635,46.654250303123,gbif,2000-05-19
"Pieris virginiensis Edwards, 1870",-72.69875,41.92083,gbif,1998-04-22
"Pieris virginiensis Edwards, 1870",-84.373672,42.791697,gbif,1998-04-22
"Pieris virginiensis Edwards, 1870",-73.26125,41.9625,gbif,1998-05-01
