name,longitude,latitude,prov,date
Cardamine concatenata (Michx.) O.Schwarz,-79.052467,35.986553,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-85.527911,38.119807,gbif,2019-03-20
Cardamine concatenata (Michx.) O.Schwarz,-77.75017,39.289593000000004,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-77.298056,39.163739,gbif,2019-03-13
Cardamine concatenata (Michx.) O.Schwarz,-83.928812,36.246595,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-92.249503,34.791333,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-77.202504,38.962704,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-82.282447,35.874413,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-77.037714,38.970926,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-87.708196,41.372566,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-82.267455,36.364262,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-80.105859,40.323395,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-92.1469,35.6043,gbif,2019-03-11
Cardamine concatenata (Michx.) O.Schwarz,-80.342348,36.802928,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-89.197415,37.623696,gbif,2019-03-26
Cardamine concatenata (Michx.) O.Schwarz,-78.951096,36.068298,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-83.68837,35.951878,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-86.53968,34.71675,gbif,2019-03-21
Cardamine concatenata (Michx.) O.Schwarz,-84.57692,39.17289,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-77.484138,39.251175,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-87.087855,34.414818,gbif,2019-03-03
Cardamine concatenata (Michx.) O.Schwarz,-88.214638,40.12801,gbif,2019-03-19
Cardamine concatenata (Michx.) O.Schwarz,-80.894088,37.714547,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-76.798233,38.883013,gbif,2019-03-26
Cardamine concatenata (Michx.) O.Schwarz,-93.24028,37.126433,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-91.999566,35.513633,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-78.447816,38.071725,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-77.980717,39.076101,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-78.459507,38.027233,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-93.612272,35.164257,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-77.039774,38.971518,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-78.884156,37.918725,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-89.021819,37.7192,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-85.53277,36.339508,gbif,2019-03-20
Cardamine concatenata (Michx.) O.Schwarz,-89.439564,37.580172,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-84.661865,39.100063,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-85.692856,38.240494,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-86.549446,36.088612,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-77.154187,38.965156,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-83.11843,35.746075,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-84.209496,37.592007,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-93.043319,34.55733,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-79.537373,37.620728,gbif,2019-03-25
Cardamine concatenata (Michx.) O.Schwarz,-93.054183,34.434597,gbif,2019-03-10
Cardamine concatenata (Michx.) O.Schwarz,-77.224791,39.067287,gbif,2019-03-20
Cardamine concatenata (Michx.) O.Schwarz,-82.368775,36.390267,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-76.796342,38.885047,gbif,2019-03-26
Cardamine concatenata (Michx.) O.Schwarz,-82.298722,35.220488,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-84.955077,38.243015,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-77.153675,38.965,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-82.370684,36.391683,gbif,2019-03-12
Cardamine concatenata (Michx.) O.Schwarz,-83.644342,36.615738,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-77.493075,37.529899,gbif,2019-03-15
Cardamine concatenata (Michx.) O.Schwarz,-89.439911,37.584165,gbif,2019-03-18
Cardamine concatenata (Michx.) O.Schwarz,-77.396565,39.282951,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-85.533,36.339,gbif,2019-03-21
Cardamine concatenata (Michx.) O.Schwarz,-80.948148,35.401205,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-94.220512,36.042946,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-83.500528,35.68325,gbif,2019-03-21
Cardamine concatenata (Michx.) O.Schwarz,-77.984426,39.072722,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-91.998984,35.513133,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-88.38464,37.603958,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-86.475855,39.025862,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-77.480335,37.52716,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-77.041747,38.977695,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-84.077314,36.209485,gbif,2019-03-10
Cardamine concatenata (Michx.) O.Schwarz,-89.439826,37.574175,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-77.153072,38.964515,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-92.415089,34.938543,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-83.118129,35.746191,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-86.159469,39.363308,gbif,2019-03-21
Cardamine concatenata (Michx.) O.Schwarz,-81.759944,39.080186,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-85.532903,37.666495,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-78.721209,38.066136,gbif,2019-03-26
Cardamine concatenata (Michx.) O.Schwarz,-86.504067,39.189045,gbif,2019-03-19
Cardamine concatenata (Michx.) O.Schwarz,-77.052437,38.937057,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-93.155414,35.866427,gbif,2019-03-23
