gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2237638614	7fd12114-9010-4c13-8f46-990fe04ca882	37-9418-1364	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2010-04-15T00:00:00Z	15	4	2010	5137890	5137890	HUMAN_OBSERVATION	NTSRV	MD-NHP	37-9418-1364				CC_BY_NC_4_0	NatureServe				2019-05-02T14:57:44.002Z		
2237637936	7fd12114-9010-4c13-8f46-990fe04ca882	37-9420-1364	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2009-05-10T00:00:00Z	10	5	2009	5137890	5137890	HUMAN_OBSERVATION	NTSRV	MD-NHP	37-9420-1364				CC_BY_NC_4_0	NatureServe				2019-05-02T14:57:43.583Z		
2237611122	7fd12114-9010-4c13-8f46-990fe04ca882	58-28820	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2013-05-02T00:00:00Z	2	5	2013	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-28820				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:35.392Z		
2237609575	7fd12114-9010-4c13-8f46-990fe04ca882	58-26234	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2008-04-21T00:00:00Z	21	4	2008	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-26234				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:33.885Z		
2237608489	7fd12114-9010-4c13-8f46-990fe04ca882	58-25175	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2011-05-07T00:00:00Z	7	5	2011	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-25175				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:32.909Z		
2237607169	7fd12114-9010-4c13-8f46-990fe04ca882	58-29551	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2017-04-17T00:00:00Z	17	4	2017	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-29551				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:31.848Z		
2237607072	7fd12114-9010-4c13-8f46-990fe04ca882	58-29514	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2015-05-07T00:00:00Z	7	5	2015	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-29514				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:31.859Z		
2237606583	7fd12114-9010-4c13-8f46-990fe04ca882	58-29124	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2017-04-17T00:00:00Z	17	4	2017	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-29124				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:31.442Z		
2237605422	7fd12114-9010-4c13-8f46-990fe04ca882	58-24570	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2013-05-01T00:00:00Z	1	5	2013	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-24570				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:30.224Z		
2237605402	7fd12114-9010-4c13-8f46-990fe04ca882	58-24210	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2013-05-04T00:00:00Z	4	5	2013	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-24210				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:30.173Z		
