id,observed_on,out_of_range,url,latitude,longitude,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,scientific_name,taxon_id
8168,2010-07-24,,http://www.inaturalist.org/observations/8168,35.5363883972,-82.6930618286,Buncombe,North Carolina,United States,North Carolina,Buncombe,Pieris rapae,55626
14539,2011-04-16,,http://www.inaturalist.org/observations/14539,37.4225349426,-122.1747512817,Santa Clara,California,United States,California,Santa Clara,Pieris rapae,55626
14701,2011-04-16,,http://www.inaturalist.org/observations/14701,37.9507292,-122.7643619,Marin,California,United States,California,Marin,Pieris rapae,55626
18664,2011-05-28,,http://www.inaturalist.org/observations/18664,34.4047143872,-119.7377157211,Santa Barbara,California,United States,California,Santa Barbara,Pieris rapae,55626
19170,2008-09-04,,http://www.inaturalist.org/observations/19170,37.7650745,-122.4845542,San Francisco,California,United States,California,San Francisco,Pieris rapae,55626
20456,2011-06-04,,http://www.inaturalist.org/observations/20456,39.934321924,-76.3822746277,Lancaster,Pennsylvania,United States,Pennsylvania,Lancaster,Pieris rapae,55626
21033,2011-06-11,,http://www.inaturalist.org/observations/21033,41.1810506384,-95.9164381027,Sarpy,Nebraska,United States,Nebraska,Sarpy,Pieris rapae,55626
21150,2011-06-12,,http://www.inaturalist.org/observations/21150,41.0229804704,-96.2535810471,Sarpy,Nebraska,United States,Nebraska,Sarpy,Pieris rapae,55626
25211,2011-07-16,,http://www.inaturalist.org/observations/25211,34.105461,-118.413573,Los Angeles,California,United States,California,Los Angeles,Pieris rapae,55626
25685,2011-07-13,,http://www.inaturalist.org/observations/25685,45.4490824686,-122.7255678177,Multnomah,Oregon,United States,Oregon,Multnomah,Pieris rapae,55626
27936,2011-08-13,,http://www.inaturalist.org/observations/27936,38.3043534389,-90.2518862486,Monroe,Illinois,United States,Illinois,Monroe,Pieris rapae,55626
27949,2011-08-13,,http://www.inaturalist.org/observations/27949,38.6128465909,-122.783203125,Sonoma,California,United States,California,Sonoma,Pieris rapae,55626
29114,2011-08-20,,http://www.inaturalist.org/observations/29114,37.7768885057,-122.1269202232,Alameda,California,United States,California,Alameda,Pieris rapae,55626
29415,2011-08-26,,http://www.inaturalist.org/observations/29415,39.3028230609,-123.7692260742,Mendocino,California,United States,California,Mendocino,Pieris rapae,55626
31000,2011-09-10,,http://www.inaturalist.org/observations/31000,37.7572269108,-122.4390488863,San Francisco,California,United States,California,San Francisco,Pieris rapae,55626
45727,2004-08-05,,http://www.inaturalist.org/observations/45727,41.7477584443,-71.3960775733,Kent,Rhode Island,United States,Rhode Island,Kent,Pieris rapae,55626
47003,2011-07-28,,http://www.inaturalist.org/observations/47003,33.808199,-118.089096,Los Angeles,California,United States,California,Los Angeles,Pieris rapae,55626
48995,2010-10-02,,http://www.inaturalist.org/observations/48995,36.6144253434,-121.9012069702,Monterey,California,United States,California,Monterey,Pieris rapae,55626
51840,2012-02-12,,http://www.inaturalist.org/observations/51840,37.5816927,-122.0510663,Alameda,California,United States,California,Alameda,Pieris rapae,55626
54998,2012-03-03,,http://www.inaturalist.org/observations/54998,37.7165610425,-122.3765926656,San Francisco,California,United States,California,San Francisco,Pieris rapae,55626
60721,2012-03-27,,http://www.inaturalist.org/observations/60721,36.5527309272,-121.9227880239,Monterey,California,United States,California,Monterey,Pieris rapae,55626
61128,2005-07-30,,http://www.inaturalist.org/observations/61128,40.505952,-74.445687,Middlesex,New Jersey,United States,New Jersey,Middlesex,Pieris rapae,55626
61131,2005-06-07,,http://www.inaturalist.org/observations/61131,39.122536,-74.89088,Cape May,New Jersey,United States,New Jersey,Cape May,Pieris rapae,55626
62363,2012-04-04,,http://www.inaturalist.org/observations/62363,41.1279442713,-81.5435406079,Summit,Ohio,United States,Ohio,Summit,Pieris rapae,55626
77134,2012-05-08,,http://www.inaturalist.org/observations/77134,47.6900672125,-122.3911499977,King,Washington,United States,Washington,King,Pieris rapae,55626
